Grid,longitude,latitude
230,348900.5677,3866421.204
231,352706.3851,3866359.061
232,356512.1755,3866298.505
233,360317.9395,3866239.535
234,364123.6779,3866182.151
235,367929.3913,3866126.353
236,371735.0805,3866072.141
237,375540.7461,3866019.515
238,379346.3889,3865968.474
239,383152.0095,3865919.019
240,386957.6087,3865871.15
241,390763.1871,3865824.867
242,394568.7454,3865780.168
243,398374.2844,3865737.055
244,402179.8047,3865695.528
245,405985.3071,3865655.585
246,409790.7922,3865617.228
247,413596.2607,3865580.456
248,417401.7133,3865545.269
249,421207.1508,3865511.667
250,425012.5738,3865479.649
251,428817.9831,3865449.217
252,432623.3792,3865420.369
253,436428.763,3865393.107
254,440234.1351,3865367.429
255,444039.4963,3865343.335
256,447844.8471,3865320.827
257,451650.1884,3865299.903
258,455455.5208,3865280.563
259,459260.845,3865262.808
260,463066.1617,3865246.638
261,466871.4717,3865232.052
262,470676.7755,3865219.05
263,474482.074,3865207.633
264,478287.3678,3865197.801
265,482092.6576,3865189.553
266,485897.9441,3865182.889
267,489703.228,3865177.809
268,493508.51,3865174.314
269,497313.7908,3865172.404
270,501119.0712,3865172.077
271,504924.3517,3865173.336
272,508729.6331,3865176.178
273,253868.9905,3873112.876
274,257673.7792,3873010.983
275,261478.5237,3872910.679
276,265283.2246,3872811.966
277,269087.8827,3872714.844
278,272892.4986,3872619.311
279,276697.073,3872525.368
280,280501.6065,3872433.014
281,284306.1,3872342.25
282,288110.5541,3872253.076
283,291914.9695,3872165.49
284,295719.3468,3872079.494
285,299523.6868,3871995.087
286,303327.9902,3871912.268
287,307132.2576,3871831.038
288,310936.4897,3871751.397
289,314740.6874,3871673.344
290,318544.8511,3871596.879
291,322348.9817,3871522.002
292,326153.0798,3871448.713
293,329957.1461,3871377.013
294,333761.1814,3871306.9
295,337565.1862,3871238.374
296,341369.1614,3871171.436
297,345173.1075,3871106.086
298,348977.0254,3871042.323
299,352780.9156,3870980.147
300,356584.7789,3870919.559
301,360388.616,3870860.557
302,364192.4275,3870803.143
303,367996.2143,3870747.315
304,371799.9768,3870693.074
305,375603.716,3870640.42
306,379407.4323,3870589.352
307,383211.1267,3870539.871
308,387014.7996,3870491.976
309,390818.4519,3870445.667
310,394622.0842,3870400.945
311,398425.6973,3870357.809
312,402229.2918,3870316.259
313,406032.8684,3870276.296
314,409836.4278,3870237.918
315,413639.9707,3870201.126
316,417443.4978,3870165.92
317,421247.0098,3870132.3
318,425050.5074,3870100.266
319,428853.9912,3870069.817
320,432657.4621,3870040.954
321,436460.9207,3870013.677
322,440264.3676,3869987.985
323,444067.8036,3869963.879
324,447871.2293,3869941.358
325,451674.6455,3869920.423
326,455478.0529,3869901.073
327,459281.4522,3869883.309
328,463084.8439,3869867.129
329,466888.229,3869852.536
330,470691.6079,3869839.527
331,474494.9815,3869828.104
332,478298.3505,3869818.266
333,482101.7155,3869810.014
334,485905.0772,3869803.346
335,489708.4363,3869798.264
336,493511.7935,3869794.767
337,497315.1496,3869792.856
338,501118.5051,3869792.529
339,504921.8609,3869793.788
340,508725.2175,3869796.632
341,253993.8061,3877735.125
342,257796.6617,3877633.177
343,261599.4732,3877532.821
344,265402.2413,3877434.055
345,269204.9667,3877336.881
346,273007.6501,3877241.297
347,276810.2922,3877147.304
348,280612.8938,3877054.902
349,284415.4554,3876964.09
350,288217.9777,3876874.868
351,292020.4615,3876787.236
352,295822.9075,3876701.194
353,299625.3163,3876616.742
354,303427.6886,3876533.879
355,307230.0252,3876452.606
356,311032.3266,3876372.922
357,314834.5937,3876294.827
358,318636.827,3876218.322
359,322439.0273,3876143.406
360,326241.1953,3876070.078
361,330043.3317,3875998.339
362,333845.4371,3875928.189
363,337647.5122,3875859.627
364,341449.5578,3875792.654
365,345251.5745,3875727.269
366,349053.563,3875663.472
367,352855.5241,3875601.263
368,356657.4583,3875540.642
369,360459.3664,3875481.609
370,364261.2492,3875424.164
371,368063.1072,3875368.307
372,371864.9411,3875314.037
373,375666.7517,3875261.354
374,379468.5397,3875210.259
375,383270.3057,3875160.752
376,387072.0505,3875112.832
377,390873.7746,3875066.499
378,394675.4789,3875021.753
379,398477.164,3874978.594
380,402278.8306,3874937.022
381,406080.4794,3874897.037
382,409882.1111,3874858.639
383,413683.7264,3874821.827
384,417485.3259,3874786.603
385,421286.9104,3874752.965
386,425088.4806,3874720.913
387,428890.0371,3874690.448
388,432691.5807,3874661.57
389,436493.112,3874634.278
390,440294.6317,3874608.573
391,444096.1405,3874584.454
392,447897.6392,3874561.921
393,451699.1283,3874540.975
394,455500.6087,3874521.614
395,459302.0809,3874503.841
396,463103.5457,3874487.653
397,466905.0038,3874473.051
398,470706.4559,3874460.036
399,474507.9026,3874448.607
400,478309.3447,3874438.764
401,482110.7829,3874430.507
402,485912.2177,3874423.836
403,489713.65,3874418.751
404,493515.0805,3874415.252
405,497316.5097,3874413.34
406,501117.9385,3874413.013
407,504919.3674,3874414.273
408,508720.7973,3874417.118
409,254118.7521,3882357.398
410,257919.6724,3882255.396
411,261720.5489,3882154.987
412,265521.3821,3882056.169
413,269322.1729,3881958.944
414,273122.9219,3881863.31
415,276923.6298,3881769.267
416,280724.2972,3881676.816
417,284524.9249,3881585.955
418,288325.5135,3881496.686
419,292126.0638,3881409.008
420,295926.5764,3881322.921
421,299727.0519,3881238.424
422,303527.4912,3881155.517
423,307327.8949,3881074.201
424,311128.2636,3880994.475
425,314928.5981,3880916.339
426,318728.899,3880839.793
427,322529.167,3880764.837
428,326329.4029,3880691.471
429,330129.6072,3880619.694
430,333929.7808,3880549.507
431,337729.9242,3880480.908
432,341530.0382,3880413.9
433,345330.1235,3880348.48
434,349130.1807,3880284.649
435,352930.2105,3880222.408
436,356730.2137,3880161.755
437,360530.1908,3880102.691
438,364330.1427,3880045.215
439,368130.07,3879989.328
440,371929.9733,3879935.029
441,375729.8534,3879882.319
442,379529.7109,3879831.197
443,383329.5466,3879781.663
444,387129.3611,3879733.718
445,390929.1552,3879687.36
446,394728.9294,3879642.591
447,398528.6845,3879599.409
448,402328.4213,3879557.815
449,406128.1403,3879517.809
450,409927.8422,3879479.39
451,413727.5279,3879442.559
452,417527.1978,3879407.316
453,421326.8528,3879373.66
454,425126.4935,3879341.592
455,428926.1207,3879311.111
456,432725.7349,3879282.217
457,436525.3369,3879254.911
458,440324.9274,3879229.192
459,444124.5071,3879205.06
460,447924.0766,3879182.515
461,451723.6367,3879161.558
462,455523.188,3879142.187
463,459322.7312,3879124.404
464,463122.2671,3879108.208
465,466921.7962,3879093.599
466,470721.3194,3879080.576
467,474520.8372,3879069.141
468,478320.3504,3879059.293
469,482119.8597,3879051.031
470,485919.3658,3879044.357
471,489718.8692,3879039.27
472,493518.3709,3879035.769
473,497317.8713,3879033.855
474,501117.3712,3879033.529
475,504916.8714,3879034.789
476,508716.3724,3879037.636
477,254243.8283,3886979.696
478,258042.8114,3886877.641
479,261841.7508,3886777.178
480,265640.6472,3886678.309
481,269439.5014,3886581.032
482,273238.3139,3886485.348
483,277037.0855,3886391.256
484,280835.8168,3886298.756
485,284634.5086,3886207.848
486,288433.1615,3886118.531
487,292231.7761,3886030.807
488,296030.3533,3885944.674
489,299828.8937,3885860.133
490,303627.3979,3885777.183
491,307425.8666,3885695.824
492,311224.3006,3885616.056
493,315022.7005,3885537.879
494,318821.067,3885461.293
495,322619.4007,3885386.297
496,326417.7024,3885312.892
497,330215.9728,3885241.077
498,334014.2125,3885170.853
499,337812.4222,3885102.219
500,341610.6026,3885035.175
501,345408.7544,3884969.72
502,349206.8783,3884905.856
503,353004.9749,3884843.582
504,356803.0449,3884782.897
505,360601.0891,3884723.802
506,364399.1081,3884666.296
507,368197.1026,3884610.379
508,371995.0733,3884556.052
509,375793.0209,3884503.314
510,379590.946,3884452.165
511,383388.8493,3884402.605
512,387186.7316,3884354.634
513,390984.5935,3884308.252
514,394782.4357,3884263.459
515,398580.2588,3884220.254
516,402378.0637,3884178.639
517,406175.8509,3884138.611
518,409973.6211,3884100.173
519,413771.375,3884063.322
520,417569.1134,3884028.06
521,421366.8369,3883994.387
522,425164.5462,3883962.301
523,428962.2419,3883931.804
524,432759.9248,3883902.896
525,436557.5955,3883875.575
526,440355.2548,3883849.842
527,444152.9033,3883825.698
528,447950.5416,3883803.141
529,451748.1706,3883782.173
530,455545.7909,3883762.792
