Station,Name,Longitude,Latitude,dS2Ss
1,CHBH10,140.245,35.5425,0.141139562
2,CHBH11,140.1562,35.2834,-0.404861193
3,CHBH12,139.8586,35.3412,0.006551266
4,CHBH13,140.3013,35.8275,0.375623238
5,CHBH14,140.8263,35.7309,-0.55089974
6,CHBH15,139.7917,34.9558,-0.380668456
7,CHBH16,139.9681,35.1351,-0.336692944
8,CHBH17,140.3431,35.1681,-0.502391677
9,CHBH20,140.1029,35.0848,-1.613013351
10,GNMH05,139.1879,36.3111,-0.211057771
11,GNMH07,139.2136,36.6967,-0.10720311
12,GNMH08,138.5275,36.4886,-0.344230377
13,GNMH09,138.91,36.6181,-1.152426948
14,GNMH10,138.7322,36.2325,-0.140815907
15,GNMH11,138.9242,36.2831,-0.444421021
16,GNMH12,138.9161,36.1409,0.656359455
17,GNMH13,139.0659,36.8589,0.456759256
18,GNMH14,139.3251,36.4899,-0.090365801
19,IBRH07,140.3334,35.9489,-0.490424919
20,IBRH10,139.9919,36.1078,0.59959232
21,IBRH11,140.1434,36.3669,1.062050391
22,IBRH12,140.3215,36.8338,0.563757735
23,IBRH13,140.5784,36.7924,0.293366233
24,IBRH14,140.5518,36.689,-0.020953849
25,IBRH15,140.3046,36.5535,0.569802864
26,IBRH16,140.4009,36.6374,0.732770692
27,IBRH17,140.3173,36.0832,0.814915433
28,IBRH18,140.6231,36.3599,0.581398361
29,IBRH19,140.0926,36.2106,-0.27264087
30,IBRH20,140.7356,35.8252,-0.295228525
31,KNGH10,139.5227,35.4959,0.771442786
32,KNGH11,139.3571,35.4007,-0.168751794
33,KNGH18,139.1315,35.6404,0.207784766
34,KNGH19,139.0468,35.414,-0.549705579
35,KNGH20,139.1291,35.3631,-0.243246011
36,KNGH21,139.2177,35.4595,-0.624907358
37,KNGH22,139.0942,35.3551,-0.52534616
38,SITH03,139.3875,35.8958,-0.493392197
39,SITH04,139.5385,35.7996,-0.635521898
40,SITH05,139.0536,36.1478,0.071960685
41,SITH06,139.2926,36.11,0.616389943
42,SITH07,139.1517,35.9086,-0.116929174
43,SITH08,138.9722,36.0243,0.069072082
44,SITH09,139.1024,36.0683,-0.597351633
45,SITH10,139.2223,35.9933,0.10066634
46,SITH11,139.2758,35.8605,0.817809437
47,TCGH06,139.9541,36.4427,-0.02264606
48,TCGH07,139.4567,36.8786,0.494742606
49,TCGH08,139.6492,36.8797,-0.155593648
50,TCGH09,139.8397,36.8594,-0.246768847
51,TCGH10,140.0258,36.8547,0.496015954
52,TCGH11,139.7733,36.7042,0.694303291
53,TCGH12,139.9875,36.6928,0.401179815
54,TCGH13,140.1814,36.7311,0.785011319
55,TCGH14,139.6186,36.5478,0.722871527
56,TCGH15,139.8669,36.5564,0.171473665
57,TCGH16,140.0784,36.5449,0.914369816
58,TCGH17,139.6955,36.9823,-0.296832226
59,TKYH12,139.2682,35.6669,0.072373093
60,TKYH13,139.1306,35.6984,-0.056193093
