,lat,lon,dS2S_T1,AF_T1,var_T1,sd_T1
1,3854624.13,253371.0321,0.128375547,1.136979912,0.496781195,0.704827067
2,3854522.455,257183.5335,0.128375547,1.136979912,0.496781195,0.704827067
3,3854422.366,260995.99,0.128375547,1.136979912,0.496781195,0.704827067
4,3854323.865,264808.402,0.128375547,1.136979912,0.496781195,0.704827067
5,3854226.951,268620.7705,0.128375547,1.136979912,0.496781195,0.704827067
6,3854131.623,272433.0959,0.128375547,1.136979912,0.496781195,0.704827067
7,3854037.881,276245.3792,0.128375547,1.136979912,0.496781195,0.704827067
8,3853945.726,280057.6209,0.128375547,1.136979912,0.496781195,0.704827067
9,3853855.157,283869.8218,0.128375547,1.136979912,0.496781195,0.704827067
10,3853766.174,287681.9826,0.128375547,1.136979912,0.496781195,0.704827067
11,3853678.776,291494.104,0.128375547,1.136979912,0.496781195,0.704827067
12,3853592.964,295306.1866,0.128375547,1.136979912,0.496781195,0.704827067
13,3853508.738,299118.2313,0.128375547,1.136979912,0.496781195,0.704827067
14,3853426.097,302930.2387,0.128375547,1.136979912,0.496781195,0.704827067
15,3853345.041,306742.2095,0.128375547,1.136979912,0.496781195,0.704827067
16,3853265.571,310554.1444,0.128375547,1.136979912,0.496781195,0.704827067
17,3853187.685,314366.0441,0.128375547,1.136979912,0.496781195,0.704827067
18,3853111.385,318177.9093,0.128375547,1.136979912,0.496781195,0.704827067
19,3853036.669,321989.7408,0.128375547,1.136979912,0.496781195,0.704827067
20,3852963.537,325801.5393,0.128375547,1.136979912,0.496781195,0.704827067
21,3852891.991,329613.3054,0.128375547,1.136979912,0.496781195,0.704827067
22,3852822.028,333425.0398,0.128207445,1.1367888,0.496761022,0.704812756
23,3852753.65,337236.7433,0.125089363,1.133249719,0.496343348,0.704516393
24,3852686.856,341048.4166,0.118284913,1.125564754,0.495145334,0.703665641
25,3852621.646,344860.0603,0.108130529,1.114193171,0.492626675,0.701873689
26,3852558.02,348671.6752,0.094978616,1.09963534,0.488063639,0.698615516
27,3852495.978,352483.2621,0.07920401,1.082425125,0.480654109,0.693292225
28,3852435.519,356294.8215,0.061213585,1.063125957,0.469625776,0.685292475
29,3852376.645,360106.3542,0.042529527,1.043446866,0.454415167,0.674103232
30,3852319.353,363917.861,0.033981578,1.034565548,0.435424303,0.659866883
31,3852263.646,367729.3424,0.036823118,1.037509487,0.413077635,0.64271116
32,3852209.521,371540.7993,0.042885046,1.043817897,0.388404794,0.623221304
33,3852156.98,375352.2323,0.047976988,1.049146512,0.363178852,0.602643221
34,3852106.022,379163.6422,0.052106606,1.053488045,0.33973133,0.582864761
35,3852056.647,382975.0296,0.05554835,1.057120127,0.321099995,0.566656858
36,3852008.855,386786.3953,0.058711847,1.060469619,0.310523586,0.557246432
37,3851962.646,390597.7399,0.061738839,1.063684516,0.310118728,0.556883047
38,3851918.02,394409.0642,0.064042875,1.066138108,0.319437527,0.565188046
39,3851874.977,398220.3689,0.064027357,1.066121564,0.335463642,0.579192233
40,3851833.516,402031.6546,0.059044733,1.060822694,0.354416669,0.595329042
41,3851793.638,405842.9222,0.048542764,1.049740262,0.373258486,0.61094884
42,3851755.343,409654.1723,0.033134373,1.03368943,0.390199484,0.624659495
43,3851718.63,413465.4055,0.014316246,1.014419214,0.404614145,0.636092875
44,3851683.5,417276.6227,-0.005866154,0.994151018,0.41664157,0.645477784
45,3851649.952,421087.8246,-0.025232701,0.975082983,0.426766622,0.653273773
46,3851617.987,424899.0117,-0.041820151,0.959042248,0.43551539,0.659935899
47,3851587.604,428710.1849,-0.054083404,0.94735309,0.443307563,0.665813459
48,3851558.803,432521.3449,-0.060937174,0.940882349,0.450438784,0.671147364
49,3851531.584,436332.4923,-0.061691151,0.940173213,0.457119919,0.676106441
50,3851505.948,440143.6279,-0.055947253,0.945589011,0.463499544,0.680808009
51,3851481.893,443954.7523,-0.043505574,0.957427217,0.469632055,0.685297056
52,3851459.421,447765.8663,-0.024110639,0.9761777,0.475410412,0.689500118
53,3851438.531,451576.9707,0.005257358,1.005271202,0.480773674,0.693378449
